string				char	filepath
player          	%		../textures/Bami/Idle/BaMi_Idle_New_1.png
avocado				'		../textures/Tiles/Ingredients/Ingredients0_avocado.png
cucumber			(		../textures/Tiles/Ingredients/Ingredients0_cucumber.png
corn				)		../textures/Tiles/Ingredients/Ingredients0_ew_corn.png
inari				*		../textures/Tiles/Ingredients/Ingredients0_inari.png
octopus				+		../textures/Tiles/Ingredients/Ingredients0_octopus.png
rice				,		../textures/Tiles/Ingredients/Ingredients0_rice.png
roes				-		../textures/Tiles/Ingredients/Ingredients0_roes.png
salmon				.		../textures/spritesheet/salmonspritesheet.png
tamago				/		../textures/Tiles/Ingredients/Ingredients0_tamago.png
tofu				0		../textures/Tiles/Ingredients/Ingredients0_tofu.png
tuna				1		../textures/Tiles/Ingredients/Ingredients0_tuna.png
nori				2		../textures/Tiles/Ingredients/Ingredients1_nori.png
tea					3		../textures/spritesheet/teaspritesheet.png
soya				4		..textures/Tiles/Ingredients/Soya_1.png
wasabi				5		../textures/Tiles/Ingredients/Wasabi_1.png
sinkhole			7		../textures/Tiles/Ground_GunkanVillage/Sinkhole.png
RicePlant1			8		../textures/spritesheet/AnimatedTop/RicePlant1.png
RicePlant2			9		../textures/spritesheet/AnimatedTop/RicePlant2.png
