string				char	filepath
Wall0				A		../textures/Tiles/Wall/RicePlain_Wall0.jpg
Wall0_1				B		../textures/Tiles/Wall/RicePlain_Wall0_1.jpg
Wall1				C		../textures/Tiles/Wall/RicePlain_Wall1.png
Wall2				D		../textures/Tiles/Wall/RicePlain_Wall2.jpg
Wall2_1				E		../textures/Tiles/Wall/RicePlain_Wall2_1.jpg
Wall2_2				F		../textures/Tiles/Wall/RicePlain_Wall2_2.jpg
Wall2_3				G		../textures/Tiles/Wall/RicePlain_Wall2_3.png
Wall3				H		../textures/Tiles/Wall/RicePlain_Wall3.jpg
Wall3_1				I		../textures/Tiles/Wall/RicePlain_Wall3_1.png
Wall3_2				J		../textures/Tiles/Wall/RicePlain_Wall3_2.jpg
Wall3_3				K		../textures/Tiles/Wall/RicePlain_Wall3_3.png
Wall4				L		../textures/Tiles/Wall/RicePlain_Wall4.png
Wall5				M		../textures/Tiles/Wall/RicePlain_Wall5.jpg
Wall6				N		../textures/Tiles/Wall/RicePlain_Wall6.png
Wall7				O		../textures/Tiles/Wall/RicePlain_Wall7.png
Wall8				P		../textures/Tiles/Wall/RicePlain_Wall8.png
Wall9				Q		../textures/Tiles/Wall/RicePlain_Wall9.png
WaterWall			R		../textures/Tiles/Wall_FishingVillage/Fishing_Wall.png
Wall0_Gunkan		S		../textures/Tiles/Wall_GunkanVillage/Wall0.png
Gunkan_Ground_1_1	U		../textures/Tiles/Ground_GunkanVillage/Gunkan_Ground_1_1.png
Gunkan_Ground_1_2	V		../textures/Tiles/Ground_GunkanVillage/Gunkan_Ground_1_2.png
Gunkan_Ground_1_3	W		../textures/Tiles/Ground_GunkanVillage/Gunkan_Ground_1_3.png
Gunkan_Ground_1_4	X		../textures/Tiles/Ground_GunkanVillage/Gunkan_Ground_1_4.png
Gunkan_Ground_2_1	Y		../textures/Tiles/Ground_GunkanVillage/Gunkan_Ground_2_1.png
Gunkan_Ground_2_2	Z		../textures/Tiles/Ground_GunkanVillage/Gunkan_Ground_2_2.png
rice_box			[		../textures/Tiles/Pods/Pod_Rice.png
inari_box			\		../textures/Tiles/Pods/Pod_Inari.png
avocado_box			]		../textures/Tiles/Pods/Pod_Avocado.png
corn_box			^		../textures/Tiles/Pods/Pod_Corn.png
cucumber_box		_		../textures/Tiles/Pods/Pod_Cucumber.png
salmon_box			`
nori_box			a		../textures/Tiles/Pods/Pod_Nori.png
octopus_box			b		../textures/Tiles/Pods/Pod_Octopus.png
roes_box			c		../textures/Tiles/Pods/Pod_Roes.png
tamago_box			d		../textures/Tiles/Pods/Pod_Tamago.png
tofu_box			e		../textures/Tiles/Pods/Pod_Tofu.png
tuna_box			f		../textures/Tiles/Pods/Pod_Tuna.png
Gunkan_Ground_2_3	j		../textures/Tiles/Ground_GunkanVillage/Gunkan_Ground_2_3.png
Gunkan_Ground_3_1	k		../textures/Tiles/Ground_GunkanVillage/Gunkan_Ground_3_1.png
Gunkan_Ground_3_2	l		../textures/Tiles/Ground_GunkanVillage/Gunkan_Ground_3_2.png
Gunkan_Ground_3_3	m		../textures/Tiles/Ground_GunkanVillage/Gunkan_Ground_3_3.png
Gunkan_Ground_6_1	n		../textures/Tiles/Ground_GunkanVillage/Gunkan_Ground_6_1.png
Gunkan_Ground_6_2	o		../textures/Tiles/Ground_GunkanVillage/Gunkan_Ground_6_2.png
Gunkan_Ground_6_3	p		../textures/Tiles/Ground_GunkanVillage/Gunkan_Ground_6_3.png
Gunkan_Ground_6_4	q		../textures/Tiles/Ground_GunkanVillage/Gunkan_Ground_6_4.png
